embedding dimension, vocabulary threshold, data source, category, average ERR, occurence
50, 30, wordnet, city-in-state, 0.494120615881, 2377
50, 30, wordnet, DerivedFrom, 0.477562202713, 2689
50, 30, wordnet, Attribute, 0.471981321818, 115
50, 30, wordnet, adjective-to-adverb, 0.463017746881, 349
50, 30, wordnet, MadeOf, 0.473896329365, 24
50, 30, wordnet, IsA, 0.489973463275, 6780
50, 30, wordnet, Causes, 0.5, 23
150, 45, wordnet, present-participle, 0.480100272168, 1417
150, 45, wordnet, superlative, 0.408226300923, 43
150, 45, wordnet, MemberOf, 0.518498919178, 93
150, 45, wordnet, currency, 0.481216931217, 63
150, 45, wordnet, nationality-adjective, 0.59267330432, 119
150, 45, wordnet, comparative, 0.408150149312, 57
150, 45, wordnet, plural-verbs, 0.488699283657, 1420
150, 45, wordnet, Entails, 0.477112195141, 78
150, 45, wordnet, PartOf, 0.458137151487, 574
